palette, ncolors, red, green, blue
bupu,9,129,15,124
bupu,9,77,0,75
dark2,3,27,158,119
dark2,3,217,95,2
dark2,3,117,112,179
dark2,4,27,158,119
dark2,4,217,95,2
dark2,4,117,112,179
dark2,4,231,41,138
dark2,5,27,158,119
dark2,5,217,95,2
dark2,5,117,112,179
dark2,5,231,41,138
dark2,5,102,166,30
dark2,6,27,158,119
dark2,6,217,95,2
dark2,6,117,112,179
dark2,6,231,41,138
dark2,6,102,166,30
dark2,6,230,171,2
dark2,7,27,158,119
dark2,7,217,95,2
dark2,7,117,112,179
dark2,7,231,41,138
dark2,7,102,166,30
dark2,7,230,171,2
dark2,7,166,118,29
dark2,8,27,158,119
dark2,8,217,95,2
dark2,8,117,112,179
dark2,8,231,41,138
dark2,8,102,166,30
dark2,8,230,171,2
dark2,8,166,118,29
dark2,8,102,102,102
gnbu,3,224,243,219
gnbu,3,168,221,181
gnbu,3,67,162,202
gnbu,4,240,249,232
gnbu,4,186,228,188
gnbu,4,123,204,196
gnbu,4,43,140,190
gnbu,5,240,249,232
gnbu,5,186,228,188
gnbu,5,123,204,196
gnbu,5,67,162,202
gnbu,5,8,104,172
gnbu,6,240,249,232
gnbu,6,204,235,197
gnbu,6,168,221,181
gnbu,6,123,204,196
gnbu,6,67,162,202
gnbu,6,8,104,172
gnbu,7,240,249,232
gnbu,7,204,235,197
gnbu,7,168,221,181
gnbu,7,123,204,196
gnbu,7,78,179,211
gnbu,7,43,140,190
gnbu,7,8,88,158
gnbu,8,247,252,240
gnbu,8,224,243,219
gnbu,8,204,235,197
gnbu,8,168,221,181
gnbu,8,123,204,196
gnbu,8,78,179,211
gnbu,8,43,140,190
gnbu,8,8,88,158
gnbu,9,247,252,240
gnbu,9,224,243,219
gnbu,9,204,235,197
gnbu,9,168,221,181
gnbu,9,123,204,196
gnbu,9,78,179,211
gnbu,9,43,140,190
gnbu,9,8,104,172
gnbu,9,8,64,129
greens,3,229,245,224
greens,3,161,217,155
greens,3,49,163,84
greens,4,237,248,233
greens,4,186,228,179
greens,4,116,196,118
greens,4,35,139,69
greens,5,237,248,233
greens,5,186,228,179
greens,5,116,196,118
greens,5,49,163,84
greens,5,0,109,44
greens,6,237,248,233
greens,6,199,233,192
greens,6,161,217,155
greens,6,116,196,118
greens,6,49,163,84
greens,6,0,109,44
greens,7,237,248,233
greens,7,199,233,192
greens,7,161,217,155
greens,7,116,196,118
greens,7,65,171,93
greens,7,35,139,69
greens,7,0,90,50
greens,8,247,252,245
greens,8,229,245,224
greens,8,199,233,192
greens,8,161,217,155
greens,8,116,196,118
greens,8,65,171,93
greens,8,35,139,69
greens,8,0,90,50
greens,9,247,252,245
greens,9,229,245,224
greens,9,199,233,192
greens,9,161,217,155
greens,9,116,196,118
greens,9,65,171,93
greens,9,35,139,69
greens,9,0,109,44
greens,9,0,68,27
greys,3,240,240,240
greys,3,189,189,189
greys,3,99,99,99
greys,4,247,247,247
greys,4,204,204,204
greys,4,150,150,150
greys,4,82,82,82
greys,5,247,247,247
greys,5,204,204,204
greys,5,150,150,150
greys,5,99,99,99
greys,5,37,37,37
greys,6,247,247,247
greys,6,217,217,217
greys,6,189,189,189
greys,6,150,150,150
greys,6,99,99,99
greys,6,37,37,37
greys,7,247,247,247
greys,7,217,217,217
greys,7,189,189,189
greys,7,150,150,150
greys,7,115,115,115
greys,7,82,82,82
greys,7,37,37,37
greys,8,255,255,255
greys,8,240,240,240
greys,8,217,217,217
greys,8,189,189,189
greys,8,150,150,150
greys,8,115,115,115
greys,8,82,82,82
greys,8,37,37,37
greys,9,255,255,255
greys,9,240,240,240
greys,9,217,217,217
greys,9,189,189,189
greys,9,150,150,150
greys,9,115,115,115
greys,9,82,82,82
greys,9,37,37,37
greys,9,0,0,0
oranges,3,254,230,206
oranges,3,253,174,107
oranges,3,230,85,13
oranges,4,254,237,222
oranges,4,253,190,133
oranges,4,253,141,60
oranges,4,217,71,1
oranges,5,254,237,222
oranges,5,253,190,133
oranges,5,253,141,60
oranges,5,230,85,13
oranges,5,166,54,3
oranges,6,254,237,222
oranges,6,253,208,162
oranges,6,253,174,107
oranges,6,253,141,60
oranges,6,230,85,13
oranges,6,166,54,3
oranges,7,254,237,222
oranges,7,253,208,162
oranges,7,253,174,107
oranges,7,253,141,60
oranges,7,241,105,19
oranges,7,217,72,1
oranges,7,140,45,4
oranges,8,255,245,235
oranges,8,254,230,206
oranges,8,253,208,162
oranges,8,253,174,107
oranges,8,253,141,60
oranges,8,241,105,19
oranges,8,217,72,1
oranges,8,140,45,4
oranges,9,255,245,235
oranges,9,254,230,206
oranges,9,253,208,162
oranges,9,253,174,107
oranges,9,253,141,60
oranges,9,241,105,19
oranges,9,217,72,1
oranges,9,166,54,3
oranges,9,127,39,4
orrd,3,254,232,200
orrd,3,253,187,132
orrd,3,227,74,51
orrd,4,254,240,217
orrd,4,253,204,138
orrd,4,252,141,89
orrd,4,215,48,31
orrd,5,254,240,217
orrd,5,253,204,138
orrd,5,252,141,89
orrd,5,227,74,51
orrd,5,179,0,0
orrd,6,254,240,217
orrd,6,253,212,158
orrd,6,253,187,132
orrd,6,252,141,89
orrd,6,227,74,51
orrd,6,179,0,0
orrd,7,254,240,217
orrd,7,253,212,158
orrd,7,253,187,132
orrd,7,252,141,89
orrd,7,239,101,72
orrd,7,215,48,31
orrd,7,153,0,0
orrd,8,255,247,236
orrd,8,254,232,200
orrd,8,253,212,158
orrd,8,253,187,132
orrd,8,252,141,89
orrd,8,239,101,72
orrd,8,215,48,31
orrd,8,153,0,0
orrd,9,255,247,236
orrd,9,254,232,200
orrd,9,253,212,158
orrd,9,253,187,132
orrd,9,252,141,89
orrd,9,239,101,72
orrd,9,215,48,31
orrd,9,179,0,0
orrd,9,127,0,0
paired,3,166,206,227
paired,3,31,120,180
paired,3,178,223,138
paired,4,166,206,227
paired,4,31,120,180
paired,4,178,223,138
paired,4,51,160,44
paired,5,166,206,227
paired,5,31,120,180
paired,5,178,223,138
paired,5,51,160,44
paired,5,251,154,153
paired,6,166,206,227
paired,6,31,120,180
paired,6,178,223,138
paired,6,51,160,44
paired,6,251,154,153
paired,6,227,26,28
paired,7,166,206,227
paired,7,31,120,180
paired,7,178,223,138
paired,7,51,160,44
paired,7,251,154,153
paired,7,227,26,28
paired,7,253,191,111
paired,8,166,206,227
paired,8,31,120,180
paired,8,178,223,138
paired,8,51,160,44
paired,8,251,154,153
paired,8,227,26,28
paired,8,253,191,111
paired,8,255,127,0
paired,9,166,206,227
paired,9,31,120,180
paired,9,178,223,138
paired,9,51,160,44
paired,9,251,154,153
paired,9,227,26,28
paired,9,253,191,111
paired,9,255,127,0
paired,9,202,178,214
paired,10,166,206,227
paired,10,31,120,180
paired,10,178,223,138
paired,10,51,160,44
paired,10,251,154,153
paired,10,227,26,28
paired,10,253,191,111
paired,10,255,127,0
paired,10,202,178,214
paired,10,106,61,154
paired,11,166,206,227
paired,11,31,120,180
paired,11,178,223,138
paired,11,51,160,44
paired,11,251,154,153
paired,11,227,26,28
paired,11,253,191,111
paired,11,255,127,0
paired,11,202,178,214
paired,11,106,61,154
paired,11,255,255,153
paired,12,166,206,227
paired,12,31,120,180
paired,12,178,223,138
paired,12,51,160,44
paired,12,251,154,153
paired,12,227,26,28
paired,12,253,191,111
paired,12,255,127,0
paired,12,202,178,214
paired,12,106,61,154
paired,12,255,255,153
paired,12,177,89,40
pastel1,3,251,180,174
pastel1,3,179,205,227
pastel1,3,204,235,197
pastel1,4,251,180,174
pastel1,4,179,205,227
pastel1,4,204,235,197
pastel1,4,222,203,228
pastel1,5,251,180,174
pastel1,5,179,205,227
pastel1,5,204,235,197
pastel1,5,222,203,228
pastel1,5,254,217,166
pastel1,6,251,180,174
pastel1,6,179,205,227
pastel1,6,204,235,197
pastel1,6,222,203,228
pastel1,6,254,217,166
pastel1,6,255,255,204
pastel1,7,251,180,174
pastel1,7,179,205,227
pastel1,7,204,235,197
pastel1,7,222,203,228
pastel1,7,254,217,166
pastel1,7,255,255,204
pastel1,7,229,216,189
pastel1,8,251,180,174
pastel1,8,179,205,227
pastel1,8,204,235,197
pastel1,8,222,203,228
pastel1,8,254,217,166
pastel1,8,255,255,204
pastel1,8,229,216,189
pastel1,8,253,218,236
pastel1,9,251,180,174
pastel1,9,179,205,227
pastel1,9,204,235,197
pastel1,9,222,203,228
pastel1,9,254,217,166
pastel1,9,255,255,204
pastel1,9,229,216,189
pastel1,9,253,218,236
pastel1,9,242,242,242
pastel2,3,179,226,205
pastel2,3,253,205,172
pastel2,3,203,213,232
pastel2,4,179,226,205
pastel2,4,253,205,172
pastel2,4,203,213,232
pastel2,4,244,202,228
pastel2,5,179,226,205
pastel2,5,253,205,172
pastel2,5,203,213,232
pastel2,5,244,202,228
pastel2,5,230,245,201
pastel2,6,179,226,205
pastel2,6,253,205,172
pastel2,6,203,213,232
pastel2,6,244,202,228
pastel2,6,230,245,201
pastel2,6,255,242,174
pastel2,7,179,226,205
pastel2,7,253,205,172
pastel2,7,203,213,232
pastel2,7,244,202,228
pastel2,7,230,245,201
pastel2,7,255,242,174
pastel2,7,241,226,204
pastel2,8,179,226,205
pastel2,8,253,205,172
pastel2,8,203,213,232
pastel2,8,244,202,228
pastel2,8,230,245,201
pastel2,8,255,242,174
pastel2,8,241,226,204
pastel2,8,204,204,204
piyg,3,233,163,201
piyg,3,247,247,247
piyg,3,161,215,106
piyg,4,208,28,139
piyg,4,241,182,218
piyg,4,184,225,134
piyg,4,77,172,38
piyg,5,208,28,139
piyg,5,241,182,218
piyg,5,247,247,247
piyg,5,184,225,134
piyg,5,77,172,38
piyg,6,197,27,125
piyg,6,233,163,201
piyg,6,253,224,239
piyg,6,230,245,208
piyg,6,161,215,106
piyg,6,77,146,33
piyg,7,197,27,125
piyg,7,233,163,201
piyg,7,253,224,239
piyg,7,247,247,247
piyg,7,230,245,208
piyg,7,161,215,106
piyg,7,77,146,33
piyg,8,197,27,125
piyg,8,222,119,174
piyg,8,241,182,218
piyg,8,253,224,239
piyg,8,230,245,208
piyg,8,184,225,134
piyg,8,127,188,65
piyg,8,77,146,33
piyg,9,197,27,125
piyg,9,222,119,174
piyg,9,241,182,218
piyg,9,253,224,239
piyg,9,247,247,247
piyg,9,230,245,208
piyg,9,184,225,134
piyg,9,127,188,65
piyg,9,77,146,33
piyg,10,142,1,82
piyg,10,197,27,125
piyg,10,222,119,174
piyg,10,241,182,218
piyg,10,253,224,239
piyg,10,230,245,208
piyg,10,184,225,134
piyg,10,127,188,65
piyg,10,77,146,33
piyg,10,39,100,25
piyg,11,142,1,82
piyg,11,197,27,125
piyg,11,222,119,174
piyg,11,241,182,218
piyg,11,253,224,239
piyg,11,247,247,247
piyg,11,230,245,208
piyg,11,184,225,134
piyg,11,127,188,65
piyg,11,77,146,33
piyg,11,39,100,25
prgn,3,175,141,195
prgn,3,247,247,247
prgn,3,127,191,123
prgn,4,123,50,148
prgn,4,194,165,207
prgn,4,166,219,160
prgn,4,0,136,55
prgn,5,123,50,148
prgn,5,194,165,207
prgn,5,247,247,247
prgn,5,166,219,160
prgn,5,0,136,55
prgn,6,118,42,131
prgn,6,175,141,195
prgn,6,231,212,232
prgn,6,217,240,211
prgn,6,127,191,123
prgn,6,27,120,55
prgn,7,118,42,131
prgn,7,175,141,195
prgn,7,231,212,232
prgn,7,247,247,247
prgn,7,217,240,211
prgn,7,127,191,123
prgn,7,27,120,55
prgn,8,118,42,131
prgn,8,153,112,171
prgn,8,194,165,207
prgn,8,231,212,232
prgn,8,217,240,211
prgn,8,166,219,160
prgn,8,90,174,97
prgn,8,27,120,55
prgn,9,118,42,131
prgn,9,153,112,171
prgn,9,194,165,207
prgn,9,231,212,232
prgn,9,247,247,247
prgn,9,217,240,211
prgn,9,166,219,160
prgn,9,90,174,97
prgn,9,27,120,55
prgn,10,64,0,75
prgn,10,118,42,131
prgn,10,153,112,171
prgn,10,194,165,207
prgn,10,231,212,232
prgn,10,217,240,211
prgn,10,166,219,160
prgn,10,90,174,97
prgn,10,27,120,55
prgn,10,0,68,27
prgn,11,64,0,75
prgn,11,118,42,131
prgn,11,153,112,171
prgn,11,194,165,207
prgn,11,231,212,232
prgn,11,247,247,247
prgn,11,217,240,211
prgn,11,166,219,160
prgn,11,90,174,97
prgn,11,27,120,55
prgn,11,0,68,27
pubu,3,236,231,242
pubu,3,166,189,219
pubu,3,43,140,190
pubu,4,241,238,246
pubu,4,189,201,225
pubu,4,116,169,207
pubu,4,5,112,176
pubu,5,241,238,246
pubu,5,189,201,225
pubu,5,116,169,207
pubu,5,43,140,190
pubu,5,4,90,141
pubu,6,241,238,246
pubu,6,208,209,230
pubu,6,166,189,219
pubu,6,116,169,207
pubu,6,43,140,190
pubu,6,4,90,141
pubu,7,241,238,246
pubu,7,208,209,230
pubu,7,166,189,219
pubu,7,116,169,207
pubu,7,54,144,192
pubu,7,5,112,176
pubu,7,3,78,123
pubu,8,255,247,251
pubu,8,236,231,242
pubu,8,208,209,230
pubu,8,166,189,219
pubu,8,116,169,207
pubu,8,54,144,192
pubu,8,5,112,176
pubu,8,3,78,123
pubu,9,255,247,251
pubu,9,236,231,242
pubu,9,208,209,230
pubu,9,166,189,219
pubu,9,116,169,207
pubu,9,54,144,192
pubu,9,5,112,176
pubu,9,4,90,141
pubu,9,2,56,88
pubugn,3,236,226,240
pubugn,3,166,189,219
pubugn,3,28,144,153
pubugn,4,246,239,247
pubugn,4,189,201,225
pubugn,4,103,169,207
pubugn,4,2,129,138
pubugn,5,246,239,247
pubugn,5,189,201,225
pubugn,5,103,169,207
pubugn,5,28,144,153
pubugn,5,1,108,89
pubugn,6,246,239,247
pubugn,6,208,209,230
pubugn,6,166,189,219
pubugn,6,103,169,207
pubugn,6,28,144,153
pubugn,6,1,108,89
pubugn,7,246,239,247
pubugn,7,208,209,230
pubugn,7,166,189,219
pubugn,7,103,169,207
pubugn,7,54,144,192
pubugn,7,2,129,138
pubugn,7,1,100,80
pubugn,8,255,247,251
pubugn,8,236,226,240
pubugn,8,208,209,230
pubugn,8,166,189,219
pubugn,8,103,169,207
pubugn,8,54,144,192
pubugn,8,2,129,138
pubugn,8,1,100,80
pubugn,9,255,247,251
pubugn,9,236,226,240
pubugn,9,208,209,230
pubugn,9,166,189,219
pubugn,9,103,169,207
pubugn,9,54,144,192
pubugn,9,2,129,138
pubugn,9,1,108,89
pubugn,9,1,70,54
puor,3,241,163,64
puor,3,247,247,247
puor,3,153,142,195
puor,4,230,97,1
puor,4,253,184,99
puor,4,178,171,210
puor,4,94,60,153
puor,5,230,97,1
puor,5,253,184,99
puor,5,247,247,247
puor,5,178,171,210
puor,5,94,60,153
puor,6,179,88,6
puor,6,241,163,64
puor,6,254,224,182
puor,6,216,218,235
puor,6,153,142,195
puor,6,84,39,136
puor,7,179,88,6
puor,7,241,163,64
puor,7,254,224,182
puor,7,247,247,247
puor,7,216,218,235
puor,7,153,142,195
puor,7,84,39,136
puor,8,179,88,6
puor,8,224,130,20
puor,8,253,184,99
puor,8,254,224,182
puor,8,216,218,235
puor,8,178,171,210
puor,8,128,115,172
puor,8,84,39,136
puor,9,179,88,6
puor,9,224,130,20
puor,9,253,184,99
puor,9,254,224,182
puor,9,247,247,247
puor,9,216,218,235
puor,9,178,171,210
puor,9,128,115,172
puor,9,84,39,136
puor,10,127,59,8
puor,10,179,88,6
puor,10,224,130,20
puor,10,253,184,99
puor,10,254,224,182
puor,10,216,218,235
puor,10,178,171,210
puor,10,128,115,172
puor,10,84,39,136
puor,10,45,0,75
puor,11,127,59,8
puor,11,179,88,6
puor,11,224,130,20
puor,11,253,184,99
puor,11,254,224,182
puor,11,247,247,247
puor,11,216,218,235
puor,11,178,171,210
puor,11,128,115,172
puor,11,84,39,136
puor,11,45,0,75
purd,3,231,225,239
purd,3,201,148,199
purd,3,221,28,119
purd,4,241,238,246
purd,4,215,181,216
purd,4,223,101,176
purd,4,206,18,86
purd,5,241,238,246
purd,5,215,181,216
purd,5,223,101,176
purd,5,221,28,119
purd,5,152,0,67
purd,6,241,238,246
purd,6,212,185,218
purd,6,201,148,199
purd,6,223,101,176
purd,6,221,28,119
purd,6,152,0,67
purd,7,241,238,246
purd,7,212,185,218
purd,7,201,148,199
purd,7,223,101,176
purd,7,231,41,138
purd,7,206,18,86
purd,7,145,0,63
purd,8,247,244,249
purd,8,231,225,239
purd,8,212,185,218
purd,8,201,148,199
purd,8,223,101,176
purd,8,231,41,138
purd,8,206,18,86
purd,8,145,0,63
purd,9,247,244,249
purd,9,231,225,239
purd,9,212,185,218
purd,9,201,148,199
purd,9,223,101,176
purd,9,231,41,138
purd,9,206,18,86
purd,9,152,0,67
purd,9,103,0,31
purples,3,239,237,245
purples,3,188,189,220
purples,3,117,107,177
purples,4,242,240,247
purples,4,203,201,226
purples,4,158,154,200
purples,4,106,81,163
purples,5,242,240,247
purples,5,203,201,226
purples,5,158,154,200
purples,5,117,107,177
purples,5,84,39,143
purples,6,242,240,247
purples,6,218,218,235
purples,6,188,189,220
purples,6,158,154,200
purples,6,117,107,177
purples,6,84,39,143
purples,7,242,240,247
purples,7,218,218,235
purples,7,188,189,220
purples,7,158,154,200
purples,7,128,125,186
purples,7,106,81,163
purples,7,74,20,134
purples,8,252,251,253
purples,8,239,237,245
purples,8,218,218,235
purples,8,188,189,220
purples,8,158,154,200
purples,8,128,125,186
purples,8,106,81,163
purples,8,74,20,134
purples,9,252,251,253
purples,9,239,237,245
purples,9,218,218,235
purples,9,188,189,220
purples,9,158,154,200
purples,9,128,125,186
purples,9,106,81,163
purples,9,84,39,143
purples,9,63,0,125
rdbu,3,239,138,98
rdbu,3,247,247,247
rdbu,3,103,169,207
rdbu,4,202,0,32
rdbu,4,244,165,130
rdbu,4,146,197,222
rdbu,4,5,113,176
rdbu,5,202,0,32
rdbu,5,244,165,130
rdbu,5,247,247,247
rdbu,5,146,197,222
rdbu,5,5,113,176
rdbu,6,178,24,43
rdbu,6,239,138,98
rdbu,6,253,219,199
rdbu,6,209,229,240
rdbu,6,103,169,207
rdbu,6,33,102,172
rdbu,7,178,24,43
rdbu,7,239,138,98
rdbu,7,253,219,199
rdbu,7,247,247,247
rdbu,7,209,229,240
rdbu,7,103,169,207
rdbu,7,33,102,172
rdbu,8,178,24,43
rdbu,8,214,96,77
rdbu,8,244,165,130
rdbu,8,253,219,199
rdbu,8,209,229,240
rdbu,8,146,197,222
rdbu,8,67,147,195
rdbu,8,33,102,172
rdbu,9,178,24,43
rdbu,9,214,96,77
rdbu,9,244,165,130
rdbu,9,253,219,199
rdbu,9,247,247,247
rdbu,9,209,229,240
rdbu,9,146,197,222
rdbu,9,67,147,195
rdbu,9,33,102,172
rdbu,10,103,0,31
rdbu,10,178,24,43
rdbu,10,214,96,77
rdbu,10,244,165,130
rdbu,10,253,219,199
rdbu,10,209,229,240
rdbu,10,146,197,222
rdbu,10,67,147,195
rdbu,10,33,102,172
rdbu,10,5,48,97
rdbu,11,103,0,31
rdbu,11,178,24,43
rdbu,11,214,96,77
rdbu,11,244,165,130
rdbu,11,253,219,199
rdbu,11,247,247,247
rdbu,11,209,229,240
rdbu,11,146,197,222
rdbu,11,67,147,195
rdbu,11,33,102,172
rdbu,11,5,48,97
rdgy,3,239,138,98
rdgy,3,255,255,255
rdgy,3,153,153,153
rdgy,4,202,0,32
rdgy,4,244,165,130
rdgy,4,186,186,186
rdgy,4,64,64,64
rdgy,5,202,0,32
rdgy,5,244,165,130
rdgy,5,255,255,255
rdgy,5,186,186,186
rdgy,5,64,64,64
rdgy,6,178,24,43
rdgy,6,239,138,98
rdgy,6,253,219,199
rdgy,6,224,224,224
rdgy,6,153,153,153
rdgy,6,77,77,77
rdgy,7,178,24,43
rdgy,7,239,138,98
rdgy,7,253,219,199
rdgy,7,255,255,255
rdgy,7,224,224,224
rdgy,7,153,153,153
rdgy,7,77,77,77
rdgy,8,178,24,43
rdgy,8,214,96,77
rdgy,8,244,165,130
rdgy,8,253,219,199
rdgy,8,224,224,224
rdgy,8,186,186,186
rdgy,8,135,135,135
rdgy,8,77,77,77
rdgy,9,178,24,43
rdgy,9,214,96,77
rdgy,9,244,165,130
rdgy,9,253,219,199
rdgy,9,255,255,255
rdgy,9,224,224,224
rdgy,9,186,186,186
rdgy,9,135,135,135
rdgy,9,77,77,77
rdgy,10,103,0,31
rdgy,10,178,24,43
rdgy,10,214,96,77
rdgy,10,244,165,130
rdgy,10,253,219,199
rdgy,10,224,224,224
rdgy,10,186,186,186
rdgy,10,135,135,135
rdgy,10,77,77,77
rdgy,10,26,26,26
rdgy,11,103,0,31
rdgy,11,178,24,43
rdgy,11,214,96,77
rdgy,11,244,165,130
rdgy,11,253,219,199
rdgy,11,255,255,255
rdgy,11,224,224,224
rdgy,11,186,186,186
rdgy,11,135,135,135
rdgy,11,77,77,77
rdgy,11,26,26,26
rdpu,3,253,224,221
rdpu,3,250,159,181
rdpu,3,197,27,138
rdpu,4,254,235,226
rdpu,4,251,180,185
rdpu,4,247,104,161
rdpu,4,174,1,126
rdpu,5,254,235,226
rdpu,5,251,180,185
rdpu,5,247,104,161
rdpu,5,197,27,138
rdpu,5,122,1,119
rdpu,6,254,235,226
rdpu,6,252,197,192
rdpu,6,250,159,181
rdpu,6,247,104,161
rdpu,6,197,27,138
rdpu,6,122,1,119
rdpu,7,254,235,226
rdpu,7,252,197,192
rdpu,7,250,159,181
rdpu,7,247,104,161
rdpu,7,221,52,151
rdpu,7,174,1,126
rdpu,7,122,1,119
rdpu,8,255,247,243
rdpu,8,253,224,221
rdpu,8,252,197,192
rdpu,8,250,159,181
rdpu,8,247,104,161
rdpu,8,221,52,151
rdpu,8,174,1,126
rdpu,8,122,1,119
rdpu,9,255,247,243
rdpu,9,253,224,221
rdpu,9,252,197,192
rdpu,9,250,159,181
rdpu,9,247,104,161
rdpu,9,221,52,151
rdpu,9,174,1,126
rdpu,9,122,1,119
rdpu,9,73,0,106
reds,3,254,224,210
reds,3,252,146,114
reds,3,222,45,38
reds,4,254,229,217
reds,4,252,174,145
reds,4,251,106,74
reds,4,203,24,29
reds,5,254,229,217
reds,5,252,174,145
reds,5,251,106,74
reds,5,222,45,38
reds,5,165,15,21
reds,6,254,229,217
reds,6,252,187,161
reds,6,252,146,114
reds,6,251,106,74
reds,6,222,45,38
reds,6,165,15,21
reds,7,254,229,217
reds,7,252,187,161
reds,7,252,146,114
reds,7,251,106,74
reds,7,239,59,44
reds,7,203,24,29
reds,7,153,0,13
reds,8,255,245,240
reds,8,254,224,210
reds,8,252,187,161
reds,8,252,146,114
reds,8,251,106,74
reds,8,239,59,44
